variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
narrow_d192_b4_r2,9,PRUNED,-1.0638124317763975,False,,,1000,0.08947876305319369,0.106999559502583,0.8362535646797092,0.08947876305319369,0.106999559502583,0.8362535646797092,1000,constant,0.0006803061850618458,,,1.0784012675934504e-05,0.1355912646752157,2.0,0.014037571065999966,0.5781480158346259,
narrow_d192_b4_r2,10,PRUNED,-1.040387467892022,False,,,1000,0.09359244115573044,0.106999559502583,0.8746993126964331,0.09359244115573044,0.106999559502583,0.8746993126964331,1000,polynomial_decay,0.0002589093919324555,0.75,0.13919968380167894,1.815816035765017e-05,0.27589698832314474,0.5,0.007349246911211263,0.6571058599010197,1.9124772388012556
narrow_d192_b4_r2,11,PRUNED,-1.0813512398993192,False,,,1000,0.08651756708665441,0.106999559502583,0.808578722088719,0.08651756708665441,0.106999559502583,0.808578722088719,1000,constant,0.00033328592360184583,,,2.761001784451977e-07,0.3211735270792276,0.5,0.006218828889841831,0.7405080158252801,
narrow_d192_b4_r2,12,PRUNED,-1.104930755523568,False,,,1000,0.08269032560444127,0.106999559502583,0.7728099628526518,0.08269032560444127,0.106999559502583,0.7728099628526518,1000,constant,0.0005495573485791046,,,1.1182769856670732e-06,0.43311512067372965,0.5,0.06594659009340048,0.6162634739203692,
narrow_d192_b4_r2,13,COMPLETE,-1.1997752433343538,False,,,4000,0.06821866075430687,0.11423495997829984,0.5971784886803981,0.06821866075430687,0.11423495997829984,0.5971784886803981,4000,constant,0.0011946389869486255,,,4.808411025745453e-07,0.406742950411635,0.5,0.006702779359930216,0.5957832138397147,
narrow_d192_b4_r2,14,PRUNED,-1.1150754943647487,False,,,1000,0.0810962463923109,0.106999559502583,0.7579119649586334,0.0810962463923109,0.106999559502583,0.7579119649586334,1000,constant,0.0006609952443838401,,,7.100041584334765e-07,0.3774768855897987,0.5,0.011058234296465444,0.3575310031976803,
narrow_d192_b4_r2,15,PRUNED,-1.1225881949089649,False,,,1000,0.079935587127693,0.106999559502583,0.7470646374554779,0.079935587127693,0.106999559502583,0.7470646374554779,1000,constant,0.0011189611701912933,,,2.828893321116743e-06,0.15237027839604697,0.5,0.02539012330513355,0.5798270373531712,
narrow_d192_b4_r2,16,PRUNED,-1.0685363122790912,False,,,1000,0.08867136718860517,0.106999559502583,0.8287077778714091,0.08867136718860517,0.106999559502583,0.8287077778714091,1000,polynomial_decay,0.0009563216703554938,1.25,0.07769488643216735,1.4856143270000974e-07,0.2735460640384464,2.0,0.02661112705823088,0.6875772653889657,0.7640387386190339
narrow_d192_b4_r2,17,PRUNED,-1.0742504514861233,False,,,1000,0.08770444851446275,0.106999559502583,0.819671117546475,0.08770444851446275,0.106999559502583,0.819671117546475,1000,constant,0.0005678525329950889,,,1.028294169077657e-07,0.29712266908243706,1.0,0.011103080388782324,0.5536575441467184,
narrow_d192_b4_r2,18,COMPLETE,-1.211141350357238,False,,,4000,0.06727832330701251,0.11423495997829984,0.5889468803577534,0.06727832330701251,0.11423495997829984,0.5889468803577534,4000,cosine_decay,0.0011491657621620945,1.0,0.12314726850796402,2.7524556084291565e-07,0.33237260946602054,0.5,0.008215714857985945,0.6176862463506574,
